"","Genus","mean","median","min","max","prevalence"
"358","Acidaminobacter",0,0,0,0.1,3.4
"359","Gemella",0,0,0,0,6.9
"360","Cuneatibacter",0,0,0,0,3.4
"361","Fusicatenibacter",0,0,0,0,6.9
"362","Marvinbryantia",0,0,0,0,3.4
"363","Roseburia",0,0,0,0,6.9
"364","Shuttleworthia",0,0,0,0,3.4
"365","Fenollaria",0,0,0,0,12.1
"366","Flintibacter",0,0,0,0,5.2
"367","Cryptanaerobacter",0,0,0,0,8.6
"368","Dehalobacter",0,0,0,0,12.1
"369","Desulfitibacter",0,0,0,0,3.4
"370","Desulfitobacterium",0,0,0,0,3.4
"371","Desulfonispora",0,0,0,0.1,19
"372","Desulfotomaculum",0,0,0,0.2,79.3
"373","Pelotomaculum",0,0,0,0.1,31
"374","Syntrophobotulus",0,0,0,0.1,6.9
"375","Thermincola",0,0,0,0,6.9
"376","Acutalibacter",0,0,0,0,3.4
"377","Anaerotruncus",0,0,0,0,3.4
"378","Caldinitratiruptor",0,0,0,0,5.2
"379","Pelospora",0,0,0,0,3.4
"380","Thermosyntropha",0,0,0,0,1.7
"381","Halanaerobium",0,0,0,0,3.4
"382","Halonatronum",0,0,0,0,3.4
"383","Natroniella",0,0,0,0,8.6
"384","Orenia",0,0,0,0.2,37.9
"385","Caldanaerobacter",0,0,0,0,15.5
"386","Calderihabitans",0,0,0,0,3.4
"387","Gelria",0,0,0,0,6.9
"388","Thermoanaerobacter",0,0,0,0.2,27.6
"389","Syntrophaceticus",0,0,0,0,3.4
"390","Thermodesulfobium",0,0,0,0,5.2
"391","Breznakia",0,0,0,0,5.2
"392","Kandleria",0,0,0,0,6.9
"393","Longibaculum",0,0,0,0,3.4
"394","Limnochorda",0,0,0,0,5.2
"395","Acholeplasma",0,0,0,0.1,5.2
"396","Hydrogenispora",0,0,0,0,10.3
"397","Acidaminococcus",0,0,0,0.3,31
"398","Schwartzia",0,0,0,0.1,17.2
"399","Selenomonas",0,0,0,0.1,27.6
"400","Acetonema",0,0,0,0,6.9
"401","Dendrosporobacter",0,0,0,0,3.4
"402","Desulfosporosinus",0,0,0,0.2,12.1
"403","Pelosinus",0,0,0,0,3.4
"404","Sporomusa",0,0,0,0,3.4
"405","Dialister",0,0,0,0,6.9
"406","Megasphaera",0,0,0,0,3.4
"407","Ezakiella",0,0,0,0,5.2
"408","Anaerosphaera",0,0,0,0,5.2
"409","Gallicola",0,0,0,0.1,10.3
"410","Helcococcus",0,0,0,0,12.1
"411","Gemmatirosa",0,0,0,0,1.7
"412","Ignavibacterium",0,0,0,0,1.7
"413","Oligosphaera",0,0,0,0,3.4
"414","Thermodesulfovibrio",0,0,0,0.1,3.4
"415","Georgenia",0,0,0,0.1,3.4
"416","Phycisphaerae",0,0,0,0.2,1.7
"417","Bythopirellula",0,0,0,0,6.9
"418","Schlesneria",0,0,0,0,3.4
"419","Acidithiobacillus",0,0,0,0,8.6
"420","Asticcacaulis",0,0,0,0,3.4
"421","Brevundimonas",0,0,0,0.1,25.9
"422","Phenylobacterium",0,0,0,0,3.4
"423","Caedibacter",0,0,0,0,3.4
"424","Kiloniella",0,0,0,0.1,5.2
"425","Aurantimonas",0,0,0,0.3,5.2
"426","Nitrobacter",0,0,0,0.2,6.9
"427","Ochrobactrum",0,0,0,0,3.4
"428","Meganema",0,0,0,0.2,17.2
"429","Hansschlegelia",0,0,0,0.1,3.4
"430","Hoeflea",0,0,0,0.1,13.8
"431","Mesorhizobium",0,0,0,0.6,24.1
"432","Nitratireductor",0,0,0,0.3,8.6
"433","Phyllobacterium",0,0,0,0.3,12.1
"434","Agrobacterium",0,0,0,0,3.4
"435","Ensifer",0,0,0,0,8.6
"436","Rhizobium",0,0,0,0,3.4
"437","Anderseniella",0,0,0,0,3.4
"438","Rhodoligotrophos",0,0,0,2,17.2
"439","Tepidicaulis",0,0,0,0.5,36.2
"440","Azorhizobium",0,0,0,0,3.4
"441","Algimonas",0,0,0,0.3,13.8
"442","Ahrensia",0,0,0,0.1,3.4
"443","Amaricoccus",0,0,0,0.3,15.5
"444","Gemmobacter",0,0,0,0.1,10.3
"445","Geoalkalibacter",0,0,0,0,12.1
"446","Haematobacter",0,0,0,0,6.9
"447","Halovulum",0,0,0,0,1.7
"448","Hasllibacter",0,0,0,0,3.4
"449","Jannaschia",0,0,0,0.1,15.5
"450","Paracoccus",0,0,0,0.4,22.4
"451","Pleomorphobacterium",0,0,0,0.2,17.2
"452","Rhodobacter",0,0,0,0.1,5.2
"453","Rubribacterium",0,0,0,0,5.2
"454","Rubrimonas",0,0,0,0,3.4
"455","Siccibacter",0,0,0,0.8,44.8
"456","Acidicaldus",0,0,0,0,5.2
"457","Acidiphilium",0,0,0,0.1,3.4
"458","Asaia",0,0,0,0.1,5.2
"459","Gluconacetobacter",0,0,0,0,6.9
"460","Gluconobacter",0,0,0,0.1,17.2
"461","Roseomonas",0,0,0,1.1,22.4
"462","Elioraea",0,0,0,0.1,1.7
"463","Defluviicoccus",0,0,0,0,3.4
"464","Limimonas",0,0,0,0,6.9
"465","Magnetovibrio",0,0,0,0,3.4
